Game #,Category,Words
24,Shapes,"Square, Oval, Diamond, Hexagon"
24,Fruits,"Apple, Orange, Pear, Mango"
24,Sports,"Basketball, Golf, Baseball, Cricket"
24,Animals,"Bear, Horse, Zebra, Giraffe"
25,Fast Food,"Pizza, Burger, Nuggets, Hotdog"
25,Insects,"Grasshopper, Ant, Beetle, Fly"
25,School Supplies,"Pen, Notebook, Marker, Crayon"
25,Animals,"Zebra, Tiger, Dog, Bear"
26,Weather,"Rain, Hail, Cloud, Wind"
26,Shapes,"Circle, Rectangle, Diamond, Star"
26,Animals,"Giraffe, Bear, Tiger, Dog"
26,Pets,"Cat, Fish, Turtle, Dog"
27,Shapes,"Square, Triangle, Oval, Star"
27,Colors,"Yellow, Red, Pink, Brown"
27,Drinks,"Lemonade, Smoothie, Soda, Tea"
27,Desserts,"Pudding, Cookie, Icecream, Pie"
28,Pets,"Rabbit, Turtle, Fish, Dog"
28,Clothing,"Dress, Shirt, Jacket, Gloves"
28,Jobs,"Doctor, Teacher, Police, Pilot"
28,Vehicles,"Car, Boat, Bike, Truck"
29,Birds,"Pigeon, Peacock, Crow, Eagle"
29,Planets,"Uranus, Mars, Jupiter, Neptune"
29,Colors,"Green, Yellow, Purple, Orange"
29,Furniture,"Shelf, Stool, Chair, Desk"
30,Drinks,"Soda, Tea, Coffee, Juice"
30,Birds,"Crow, Owl, Parrot, Eagle"
30,Weather,"Wind, Hail, Snow, Rain"
30,Pets,"Guinea Pig, Parrot, Turtle, Cat"
31,Vehicles,"Bus, Train, Boat, Scooter"
31,Weather,"Cloud, Snow, Fog, Sun"
31,School Supplies,"Pen, Ruler, Marker, Sharpener"
31,Pets,"Hamster, Parrot, Guinea Pig, Turtle"
32,Birds,"Parrot, Peacock, Crow, Pigeon"
32,Animals,"Bear, Tiger, Giraffe, Zebra"
32,Shapes,"Oval, Triangle, Hexagon, Diamond"
32,School Supplies,"Eraser, Ruler, Notebook, Marker"
33,Toys,"Car, Doll, Puzzle, Lego"
33,Planets,"Venus, Mars, Mercury, Earth"
33,Vehicles,"Train, Boat, Van, Truck"
33,Desserts,"Icecream, Brownie, Cake, Donut"
34,Vehicles,"Bike, Van, Truck, Car"
34,Pets,"Parrot, Rabbit, Fish, Guinea Pig"
34,Jobs,"Nurse, Firefighter, Doctor, Chef"
34,Sports,"Cricket, Tennis, Hockey, Basketball"
35,Fast Food,"Sandwich, Taco, Nuggets, Hotdog"
35,Colors,"Yellow, Green, Pink, Red"
35,Weather,"Rain, Storm, Fog, Sun"
35,Body Parts,"Eye, Mouth, Arm, Hand"
36,Pets,"Dog, Turtle, Cat, Fish"
36,Colors,"Pink, Orange, Red, Blue"
36,Body Parts,"Hand, Nose, Arm, Mouth"
36,Drinks,"Smoothie, Coffee, Water, Juice"
37,Jobs,"Firefighter, Farmer, Pilot, Chef"
37,Body Parts,"Eye, Foot, Hand, Mouth"
37,School Supplies,"Ruler, Crayon, Pencil, Marker"
37,Furniture,"Desk, Cabinet, Shelf, Table"
38,Clothing,"Skirt, Shirt, Pants, Gloves"
38,Vehicles,"Bike, Van, Car, Train"
38,Toys,"Lego, Blocks, Ball, Yo-yo"
38,Shapes,"Triangle, Rectangle, Star, Diamond"
39,Sports,"Basketball, Baseball, Rugby, Hockey"
39,Jobs,"Pilot, Farmer, Doctor, Chef"
39,Fast Food,"Fries, Taco, Burger, Hotdog"
39,Insects,"Ant, Mosquito, Bee, Fly"
40,Vehicles,"Bike, Car, Truck, Boat"
40,Clothing,"Socks, Jacket, Hat, Shirt"
40,Drinks,"Water, Milk, Juice, Lemonade"
40,Shapes,"Hexagon, Diamond, Oval, Rectangle"
